channel,hour,dominant_cluster,dominant_genre,dominant_program,minutes,label
SBT,2,Jornalismo & Esporte,Jornalismo,SBT Notícias,45,02:00–03:00
SBT,3,Jornalismo & Esporte,Jornalismo,SBT Notícias,60,03:00–04:00
SBT,4,Jornalismo & Esporte,Jornalismo,SBT Notícias,60,04:00–05:00
SBT,5,Jornalismo & Esporte,Jornalismo,SBT Notícias,60,05:00–06:00
SBT,6,Jornalismo & Esporte,Jornalismo,Se Liga Brasil,60,06:00–07:00
SBT,7,Jornalismo & Esporte,Jornalismo,Se Liga Brasil,60,07:00–08:00
SBT,8,Jornalismo & Esporte,Jornalismo,Se Liga Brasil,30,08:00–09:00
SBT,9,Jornalismo & Esporte,Jornalismo,Primeiro Impacto,60,09:00–10:00
SBT,10,Jornalismo & Esporte,Jornalismo,Primeiro Impacto,60,10:00–11:00
SBT,11,Jornalismo & Esporte,Jornalismo,Primeiro Impacto,30,11:00–12:00
SBT,12,Jornalismo & Esporte,Jornalismo,Alô Você,60,12:00–13:00
SBT,13,Jornalismo & Esporte,Jornalismo,Alô Você,45,13:00–14:00
SBT,14,Ficção,Novela,Meu Coração é Teu,60,14:00–15:00
SBT,15,Ficção,Novela,Meu Coração é Teu,30,15:00–16:00
SBT,16,Jornalismo & Esporte,Jornalismo,Fofocalizando,60,16:00–17:00
SBT,17,Ficção,Novela,Coração Indomável,60,17:00–18:00
SBT,18,Ficção,Novela,Coração Indomável,30,18:00–19:00
SBT,19,Jornalismo & Esporte,Jornalismo,Aqui Agora,30,19:00–20:00
SBT,20,Jornalismo & Esporte,Jornalismo,SBT Brasil,45,20:00–21:00
SBT,21,Ficção,Novela,Presente de Amor,45,21:00–22:00
SBT,22,Variedades & Entretenimento,Variedades,Programa do Ratinho,45,22:00–23:00
SBT,23,Ficção,Série/Drama,Impuros,45,23:00–24:00
